For events definition screenshots ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Event Name,Description,"Sample button
/URL",Property Name,isMandated,Property Value Type,Property Description,Suggested values (Red colored values are fixed allowed values),Standardisation,DBS/POSB SG PL Full API,SCB SG CC Full API,SCB SG PL Full API,OCBC Bot Service,CI FWD ,CI Etiqa,CI Wizard,Home Loan - TDSR Calculator,Home Loan - Property Tax Calculator,Home Loan - Stamp Duty Calculator,Home Loan - Refinance Calculator,Home Loan - MSR Calculator,Home Loan - Mortgage Calculator,Home Loan - Progressive Payment Calculator,Home Loan - Property Valuation Calculator,Home Loan HK - Mortgage Calculator,Home Loan HK - Property Valuation Calculator,Mortgage Home Page,New Purchase Home Page,Refinance Home Page,"New Listing Service
HK TI",Product Widgets
,,,,provider,TRUE,string,slug of the provider.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,listPosition,TRUE,string,The position of the product in the list when the user had clicked to apply. This property only applies when the user is interacting with the button on the listing page,"1, 2, 3, 4",,,,,,,,,,,,,,,,,,,,,,,N.A
,,,,isSponsored,TRUE,string,Flag to indicate whether the product is a sponsored product or not,"true, false",,,,,,,,,,,,,,,,,,,,,,,N.A
,,,,isRecommended,TRUE,string,Flag to indicate whether the product is a recommended product by Moneysmart,"true, false",,,,,,,,,,,,,,,,,,,,,,,N.A
,,,,isPaid,TRUE,string,"Flag to indicate whether the product is a paid product or not. In the legacy system, it is referred to as ""has partnerships""","true, false",,,,,,,,,,,,,,,,,,,,,,,N.A
,,,,pageReferrer,TRUE,string,The page that the user was previously on before he landed on the current page,https://www.moneysmart.sg/credit-cards,,,,,,,,,,,,,,,,,,,,,,,N.A
,,,,pagePath,TRUE,string,The path of the current page that the user is on,/credit-cards/citibank-cash-back,,,,,,,,,,,,,,,,,,,,,,,N.A
,,,,affiliateCategory,FALSE,string,Category of page that widget is part of,,,,,,,,,,,,,,,,,,,,,,,,
,,,,affiliatePageType,FALSE,string,Type of page where widget is placed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,affiliateLocation,FALSE,string,Location of widget on page,,,,,,,,,,,,,,,,,,,,,,,,
